City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Mar del Plata,71,AR,1587664730,52,-38.0,-57.56,69.01,17.22
Itoman,75,JP,1587664987,59,26.12,127.67,62.6,14.99
Odienné,95,CI,1587664987,51,9.51,-7.57,86.74,1.83
Fortuna,75,US,1587664987,93,40.6,-124.16,57.0,3.36
Esmeraldas,75,BR,1587664825,54,-19.76,-44.31,78.8,5.82
Punta Arenas,40,CL,1587664987,66,-53.15,-70.92,51.8,14.99
Atlantic City,1,US,1587664988,57,39.36,-74.42,57.0,12.75
Riyadh,40,SA,1587664941,35,24.69,46.72,86.0,2.24
Dunedin,4,NZ,1587664988,64,-45.87,170.5,52.0,6.91
Kahului,40,US,1587664988,69,20.89,-156.47,75.2,17.22
Hermanus,91,ZA,1587664854,79,-34.42,19.23,63.0,3.0
Ponta do Sol,40,PT,1587664988,63,32.67,-17.1,64.99,13.87
Port Blair,77,IN,1587664988,68,11.67,92.75,84.22,2.62
Puerto Ayora,20,EC,1587664988,70,-0.74,-90.35,84.2,18.34
Hasaki,40,JP,1587664988,70,35.73,140.83,46.4,6.93
San Luis,100,AR,1587664989,31,-33.3,-66.34,80.04,25.41
Port-Gentil,75,GA,1587664989,74,-0.72,8.78,86.0,12.75
Kapaa,75,US,1587664989,83,22.08,-159.32,75.2,13.87
Thompson,90,CA,1587664936,86,55.74,-97.86,33.8,5.82
Cherskiy,18,RU,1587664989,90,68.75,161.3,18.09,6.2
Gamba,86,GA,1587664990,84,-2.65,10.0,80.46,6.22
Hilo,20,US,1587664987,78,19.73,-155.09,73.99,6.93
Senneterre,5,CA,1587664990,27,48.38,-77.23,26.6,6.93
Chokurdakh,5,RU,1587664990,95,70.63,147.92,12.42,7.83
Iqaluit,75,CA,1587664990,73,63.75,-68.51,23.0,13.87
Kaitangata,12,NZ,1587664990,83,-46.28,169.85,44.01,1.99
Lorengau,18,PG,1587664991,75,-2.02,147.27,81.54,2.77
Caniço,40,PT,1587664991,63,32.63,-16.85,64.99,13.87
Tasiilaq,75,GL,1587664991,80,65.61,-37.64,39.2,17.22
Longyearbyen,0,SJ,1587664991,53,78.22,15.64,23.0,5.82
Jämsä,99,FI,1587664991,45,61.86,25.19,44.6,4.7
Pangnirtung,40,CA,1587664992,85,66.15,-65.71,10.4,5.82
Mangai,8,CD,1587664992,63,-4.05,19.53,77.47,2.21
Tatarbunary,65,UA,1587664992,54,45.84,29.61,52.16,7.96
Albany,40,US,1587664992,21,42.6,-73.97,53.01,11.41
Khatanga,100,RU,1587664992,94,71.97,102.5,30.52,17.92
Oddur,100,SO,1587664992,68,4.12,43.89,77.67,5.61
Souillac,40,MU,1587664993,83,-20.52,57.52,77.0,11.41
George Town,40,MY,1587664705,100,5.41,100.34,78.8,3.36
Mossamedes,0,AO,1587664993,71,-15.2,12.15,76.66,10.47
Atuona,11,PF,1587664993,65,-9.8,-139.03,82.58,10.71
Okakarara,0,NA,1587664993,24,-20.58,17.43,66.92,5.88
Kalāleh,90,IR,1587664993,93,37.38,55.49,55.4,4.7
Torquay,2,GB,1587664993,60,50.46,-3.51,64.99,1.14
Mendi,100,PG,1587664993,56,-6.18,143.65,55.98,1.43
Upernavik,98,GL,1587664993,89,72.79,-56.15,33.87,7.99
Santa Rosa,20,PH,1587664993,74,14.31,121.11,84.2,8.05
Mezen',96,RU,1587664994,95,65.85,44.24,22.08,8.72
Hithadhoo,97,MV,1587664994,77,-0.6,73.08,82.87,14.32
Huarmey,21,PE,1587664736,53,-10.07,-78.15,79.12,9.91
Abalak,86,RU,1587664994,65,58.13,68.59,42.6,10.18
Torbay,75,CA,1587664767,44,47.67,-52.73,43.0,28.86
Tuatapere,68,NZ,1587664994,86,-46.13,167.68,50.0,4.0
Kosh-Agach,1,RU,1587664994,30,50.0,88.67,40.23,1.59
Clyde River,1,CA,1587664994,78,70.47,-68.59,10.4,2.24
Āsosa,19,ET,1587664995,12,10.07,34.53,74.95,3.47
São Filipe,21,CV,1587664996,75,14.9,-24.5,70.7,20.62
Saint George,1,US,1587664753,39,37.1,-113.58,75.0,3.36
Mnogovershinnyy,100,RU,1587664996,95,53.94,139.92,22.12,14.34
Mahibadhoo,86,MV,1587664996,78,3.78,72.97,83.03,17.2
Barrow,90,US,1587664996,85,71.29,-156.79,19.4,5.82
Alta Floresta,40,BR,1587664996,66,-9.88,-56.09,87.8,3.36
Mormugao,15,IN,1587664997,78,15.4,73.8,81.09,7.92
Muncar,92,ID,1587664997,80,-8.43,114.33,80.44,4.27
Camacha,20,PT,1587664997,59,33.08,-16.33,64.4,13.87
Katsuura,30,JP,1587664997,74,35.13,140.3,52.0,18.34
Kalianget,61,ID,1587664997,77,-7.05,113.93,82.2,10.18
Vágur,62,FO,1587664997,83,61.47,-6.81,48.87,2.37
Yelniki,54,RU,1587664997,91,54.62,43.88,29.12,4.7
Mossendjo,59,CG,1587664998,77,-2.95,12.73,75.07,0.54
Castro,0,BR,1587664998,23,-24.79,-50.01,73.58,3.56
Idlib,75,SY,1587664998,63,35.93,36.63,64.4,16.11
Abaetetuba,40,BR,1587664998,74,-1.72,-48.88,84.2,10.29
Kavieng,97,PG,1587664733,71,-2.57,150.8,82.9,2.13
Klyuchi,100,RU,1587664998,55,52.27,79.17,60.8,5.59
Portland,90,US,1587664762,71,45.52,-122.68,55.99,3.36
Watertown,1,US,1587664998,18,42.37,-71.18,55.99,13.87
St. George's,97,GD,1587664998,78,12.06,-61.75,80.49,15.1
Nouadhibou,2,MR,1587664998,60,20.93,-17.03,69.8,25.28
Gurupá,76,BR,1587664999,86,-1.41,-51.64,82.89,4.34
Praia da Vitória,75,PT,1587664999,77,38.73,-27.07,62.6,3.2
São João da Barra,40,BR,1587664999,57,-21.64,-41.05,80.6,11.41
Victoria Point,75,AU,1587664710,88,-27.58,153.3,68.0,4.7
Oistins,40,BB,1587664999,66,13.07,-59.53,86.0,21.92
Hofn,75,IS,1587665000,66,64.25,-15.21,48.2,6.93
Krasnoyarsk,63,RU,1587664866,19,56.01,92.79,68.0,6.71
Neyshabur,89,IR,1587664935,40,36.21,58.8,65.55,3.22
Tuktoyaktuk,75,CA,1587665000,76,69.45,-133.04,-4.0,16.11
Kiruna,90,SE,1587665001,81,67.86,20.23,35.6,4.7
Kholodnyy,100,RU,1587665001,84,62.72,147.95,16.77,2.73
Lebu,86,CL,1587664763,74,-37.62,-73.65,59.61,14.03
Fairbanks,75,US,1587664744,80,64.84,-147.72,37.99,1.54
College,75,US,1587664786,68,64.86,-147.8,37.99,1.48
Solone,11,UA,1587665001,25,48.21,34.87,57.0,8.95
Surgut,95,RU,1587664884,70,61.25,73.42,42.8,11.18
Lohr a. Main,0,DE,1587665002,36,49.99,9.58,66.99,1.03
Cape Town,96,ZA,1587664998,77,-33.93,18.42,64.99,9.17
Carutapera,74,BR,1587665002,81,-1.2,-46.02,81.16,6.13
Kaeo,19,NZ,1587665002,95,-35.1,173.78,59.0,1.99
Mayskiy,33,RU,1587665002,43,47.69,40.1,50.0,6.71
Mandalgovi,1,MN,1587665002,26,45.76,106.27,42.82,9.75
Capreol,40,CA,1587665002,23,46.71,-80.92,41.0,5.82
La Ronge,75,CA,1587664983,65,55.1,-105.28,44.6,6.93
Yuci,0,CN,1587665003,29,37.68,112.73,35.6,4.47
Arraial do Cabo,20,BR,1587664736,65,-22.97,-42.03,80.6,5.82
Sampit,92,ID,1587665003,97,-2.53,112.95,75.36,1.77
Qaanaaq,100,GL,1587665004,93,77.48,-69.36,23.99,9.35
Andenes,100,NO,1587665004,93,69.31,16.12,39.2,4.7
Bileća,20,BA,1587665004,76,42.87,18.43,59.0,9.17
Marsá Maţrūḩ,40,EG,1587665004,72,31.35,27.25,64.4,16.11
San Quintín,0,MX,1587665004,49,30.48,-115.95,72.63,7.61
Lüderitz,19,NA,1587665004,78,-26.65,15.16,71.6,8.05
Luanda,75,AO,1587664855,79,-8.84,13.23,84.2,11.41
Korla,3,CN,1587665005,22,41.76,86.15,63.34,3.38
Pachmarhi,33,IN,1587665005,27,22.47,78.43,76.96,3.27
Flinders,91,AU,1587664777,56,-34.58,150.86,68.0,5.99
Orleans,90,US,1587665005,83,30.03,-89.95,78.8,16.11
Salalah,40,OM,1587664707,83,17.02,54.09,84.2,6.93
Cruzeiro do Sul,0,BR,1587665006,45,-29.51,-51.99,87.01,4.0
Świnoujście,42,PL,1587665006,45,53.91,14.25,64.0,3.51
Chifeng,9,CN,1587665006,44,42.27,118.96,40.64,8.28
Vila Franca do Campo,20,PT,1587665006,72,37.72,-25.43,62.6,5.82
Chhor,35,PK,1587665007,29,25.52,69.77,91.78,13.33
Vestmannaeyjar,38,IS,1587665007,85,63.44,-20.27,45.97,16.31
Udimskiy,100,RU,1587665008,93,61.14,45.91,24.33,6.93
Honiara,75,SB,1587664971,100,-9.43,159.95,75.2,3.91
Yellowknife,75,CA,1587664824,67,62.46,-114.35,21.2,5.82
Nanortalik,53,GL,1587665008,85,60.14,-45.24,38.91,5.19
Mahébourg,40,MU,1587665008,83,-20.41,57.7,77.0,11.41
Kruisfontein,100,ZA,1587664731,82,-34.0,24.73,57.87,1.03
Avera,90,US,1587665008,94,33.19,-82.53,62.6,5.82
Khovd,8,MN,1587665009,25,48.01,91.64,47.46,2.82
Maningrida,89,AU,1587665009,85,-12.07,134.27,76.06,11.97
Aykhal,95,RU,1587665009,79,66.0,111.5,26.6,6.71
Kutum,35,SD,1587665009,9,14.2,24.67,75.81,7.45
Edd,32,ER,1587665009,50,13.93,41.69,89.49,14.45
Mount Isa,0,AU,1587665010,27,-20.73,139.5,73.4,8.05
Grand Gaube,1,MU,1587665010,78,-20.01,57.66,78.01,5.99
Tautira,20,PF,1587664874,69,-17.73,-149.15,80.6,3.36
Hong Kong,40,HK,1587664800,93,22.29,114.16,66.2,9.17
Provideniya,52,RU,1587665010,93,64.38,-173.3,21.18,7.49
Port Elizabeth,92,ZA,1587664966,93,-33.92,25.57,59.0,4.7
Shumikha,85,RU,1587665011,66,55.23,63.3,38.98,11.34
Abay,100,KZ,1587665011,87,49.63,72.85,50.0,6.71
Fengzhen,0,CN,1587665011,34,40.44,113.15,36.73,11.65
Beyneu,76,KZ,1587664788,73,45.32,55.2,46.72,9.1
Khasan,96,RU,1587665011,71,42.43,130.64,39.04,10.58
Mathbaria,66,BD,1587665011,82,22.29,89.96,77.77,12.21
Asău,71,RO,1587664779,43,46.43,26.4,48.99,1.03
La Paz,40,BO,1587664894,35,-16.5,-68.15,55.4,6.93
Châteauroux,66,FR,1587665012,60,46.82,1.7,69.8,6.93
Necochea,96,AR,1587664961,58,-38.55,-58.74,66.0,17.0
Maniitsoq,67,GL,1587665012,80,65.42,-52.9,38.93,5.75
Bengkulu,99,ID,1587665012,81,-3.8,102.27,79.3,5.57
Petropavlovsk-Kamchatskiy,75,RU,1587665012,69,53.05,158.65,39.2,11.18
Ust-Kuyga,89,RU,1587665012,96,70.02,135.6,21.11,1.72
Safranbolu,1,TR,1587665012,59,41.25,32.69,41.81,1.54
Vallenar,1,CL,1587665013,27,-28.57,-70.76,76.12,9.1
Lubao,75,PH,1587665013,78,14.92,120.55,82.4,2.24
Kenai,90,US,1587665013,93,60.55,-151.26,41.0,0.4
Japura,97,ID,1587665013,95,-0.32,102.35,75.09,0.76
Rio Grande,40,BR,1587664782,61,-32.03,-52.1,80.6,11.41
Mattawa,1,US,1587665013,51,46.74,-119.9,64.0,10.29
Zatoka,3,UA,1587665013,46,46.07,30.47,53.6,8.95
Mogadishu,74,SO,1587665013,76,2.04,45.34,83.64,11.5
Klaksvík,94,FO,1587665014,87,62.23,-6.59,44.6,10.29
San Fernando del Valle de Catamarca,3,AR,1587664748,55,-28.47,-65.79,86.0,13.0
Vardø,75,NO,1587665014,73,70.37,31.11,26.6,19.46
Alofi,90,NU,1587664759,100,-19.06,-169.92,73.4,1.12
Leningradskiy,0,RU,1587665014,91,69.38,178.42,11.73,1.39
Touros,40,BR,1587665014,70,-5.2,-35.46,87.8,12.75
Avarua,42,CK,1587664750,94,-21.21,-159.78,73.4,2.24
High Rock,75,BS,1587665015,61,26.62,-78.28,82.4,18.34
Bethel,90,US,1587665015,48,41.37,-73.41,45.0,4.7
Ilulissat,75,GL,1587664761,86,69.22,-51.1,30.2,6.93
Mujiayingzi,13,CN,1587665015,44,42.12,118.78,38.82,8.59
Alexandria,20,EG,1587664956,77,31.22,29.96,64.4,12.75
Nanning,75,CN,1587664926,82,22.82,108.32,62.6,6.71
Carauari,89,BR,1587665016,78,-4.88,-66.9,84.38,4.7
Nuuk,90,GL,1587664927,93,64.18,-51.72,35.6,6.93
Hualmay,32,PE,1587664738,57,-11.1,-77.61,75.94,8.93
Fukuechō,37,JP,1587665016,61,32.69,128.84,54.19,22.44
Bacolod City,53,PH,1587665016,72,10.67,122.95,81.27,9.24
Trairi,92,BR,1587665016,74,-3.28,-39.27,83.14,3.15
Kashgar,32,CN,1587665016,55,39.45,75.98,60.8,6.71
Santa Marta,40,CO,1587664802,66,11.24,-74.2,89.6,6.93
Lithgow,100,AU,1587665016,69,-33.48,150.15,55.0,4.43
Gemena,83,CD,1587665017,61,3.25,19.77,80.98,2.08
Severobaykal'sk,31,RU,1587665017,76,55.65,109.32,30.27,6.96
Humaitá,55,BR,1587665017,71,-7.51,-63.02,86.54,4.27
Adrar,46,MR,1587665017,10,20.5,-10.07,95.58,14.63
San Juan Nepomuceno,100,CO,1587665018,50,9.95,-75.08,91.04,6.08
Monrovia,75,LR,1587665018,79,6.3,-10.8,86.0,5.82
Yulara,34,AU,1587664772,31,-25.24,130.99,77.0,8.05
Lodwar,6,KE,1587664806,37,3.12,35.6,88.7,6.85
Half Moon Bay,20,US,1587664911,77,37.46,-122.43,69.01,3.36
Kununurra,32,AU,1587665018,83,-15.77,128.73,75.2,2.59
Kincardine,100,GB,1587665018,76,56.07,-3.72,60.01,10.29
Tura,65,IN,1587665018,82,25.52,90.22,66.85,6.04
Saskylakh,0,RU,1587665018,96,71.92,114.08,14.77,2.26
Kiryat Gat,24,IL,1587665019,72,31.61,34.76,68.0,1.99
Neuenhagen,9,DE,1587665019,37,52.53,13.69,68.0,5.82
Nuquí,75,CO,1587665019,74,5.71,-77.27,84.2,8.05
Ganzhou,74,CN,1587665020,76,28.82,115.43,54.93,3.44
Codrington,30,AU,1587665020,87,-38.27,141.97,56.8,13.91
Ayan,100,RU,1587665021,95,56.45,138.17,25.27,14.07
Kirakira,100,SB,1587665021,78,-10.45,161.92,79.09,3.91
Cayenne,75,GF,1587665021,66,4.93,-52.33,86.0,13.87
Morón,98,AR,1587664800,73,-34.65,-58.62,77.0,8.05
Excelsior Springs,90,US,1587665021,72,39.34,-94.23,70.0,4.7
Geraldton,75,AU,1587664759,88,-28.77,114.6,64.4,6.93
Champasak,100,LA,1587665021,79,14.75,106.0,73.11,2.24
Margate,51,GB,1587664937,61,51.38,1.39,57.99,11.81
Asaba,93,NG,1587665021,81,6.2,6.73,81.64,5.41
Skibbereen,97,IE,1587665022,58,51.55,-9.27,57.2,5.82
Coyhaique,90,CL,1587664777,87,-45.58,-72.07,48.2,4.7
Kez,100,RU,1587665022,93,57.9,53.72,25.45,5.23
Lárdos,20,GR,1587665022,77,36.09,28.02,61.0,16.11
Zaprešić,34,HR,1587665022,56,45.86,15.81,64.4,3.36
Sur,3,OM,1587665022,49,22.57,59.53,84.2,7.63
Guerrero Negro,12,MX,1587665022,39,27.98,-114.06,77.85,11.05
Benghazi,0,LY,1587665022,81,32.12,20.07,65.66,15.05
Tucumã,100,BR,1587665023,93,-0.18,-50.05,76.84,7.63
Yerbogachën,78,RU,1587665023,94,61.28,108.01,29.32,3.02
Takoradze,96,GH,1587665023,78,4.88,-1.76,83.01,8.57
La Rioja,79,ES,1587665023,68,42.25,-2.5,64.4,3.36
Araouane,15,ML,1587664730,9,18.9,-3.53,98.28,6.93
Merauke,71,ID,1587665024,88,-8.47,140.33,77.13,9.93
Songjianghe,46,CN,1587665024,88,42.19,127.48,24.01,5.12
Porto Belo,20,BR,1587664914,69,-27.16,-48.55,78.01,14.99
Canutama,98,BR,1587665025,66,-6.53,-64.38,87.1,3.06
Rome,75,US,1587664954,30,43.21,-75.46,46.99,6.93
Okha,100,RU,1587665025,98,53.57,142.95,29.14,25.48
Nikolskoye,93,RU,1587665025,48,59.7,30.79,41.0,6.71
French Harbor,20,HN,1587665026,66,16.35,-86.43,87.8,20.8
Katherine,1,AU,1587665026,64,-14.47,132.27,75.2,5.82
Erfurt,0,DE,1587665026,39,50.98,11.03,63.0,8.05
Tegul'det,81,RU,1587665026,47,57.31,88.17,63.73,9.55
Revda,40,RU,1587665027,86,56.8,59.93,33.8,6.71
Bay City,90,US,1587664768,65,43.59,-83.89,44.6,9.17
Nouakchott,35,MR,1587665027,68,18.09,-15.98,71.6,23.04
Lakes Entrance,64,AU,1587665027,77,-37.88,147.98,55.0,1.01
Faanui,21,PF,1587665027,77,-16.48,-151.75,80.37,17.56
Kyabé,35,TD,1587665027,29,9.45,18.94,91.99,1.5
Kirs,85,RU,1587665028,94,59.34,52.24,22.06,3.87
Itapetinga,67,BR,1587665029,63,-15.25,-40.25,78.46,6.42
Norman Wells,75,CA,1587664738,57,65.28,-126.83,21.2,16.11
Broome,90,US,1587665029,86,42.25,-75.83,37.0,4.7
Pisco,12,PE,1587665029,73,-13.7,-76.22,73.4,11.41
Kokoda,89,PG,1587665030,66,-8.88,147.74,73.78,0.67
Sioux Lookout,75,CA,1587664746,45,50.1,-91.92,44.6,8.05
Porto-Novo,40,BJ,1587665030,79,6.5,2.6,86.0,9.17
Peace River,75,CA,1587664956,46,56.25,-117.29,50.0,5.82
Belize,32,BZ,1587665030,54,17.25,-88.75,96.01,8.99
Dolinsk,40,RU,1587665030,100,47.35,142.8,28.4,9.95
Kavaratti,48,IN,1587665030,68,10.57,72.64,85.68,8.97
Anadyr,0,RU,1587664789,84,64.75,177.48,1.4,6.71
Itarema,59,BR,1587665031,71,-2.92,-39.92,84.04,4.34
Ürümqi,0,CN,1587665031,10,43.8,87.6,73.4,15.66
Sitka,90,US,1587665031,93,57.05,-135.33,44.6,8.05
Egvekinot,1,RU,1587665031,91,66.32,-179.17,13.1,6.24
Kokopo,90,PG,1587665031,78,-4.35,152.26,78.67,4.47
Bubaque,69,GW,1587665032,72,11.28,-15.83,77.85,15.93
Tocopilla,22,CL,1587665033,23,-22.09,-70.2,83.28,7.11
Severo-Kuril'sk,100,RU,1587665033,94,50.68,156.12,33.06,8.88
Dingle,58,PH,1587665033,80,11.0,122.67,80.11,10.92
Vuktyl,100,RU,1587665033,94,63.86,57.31,20.28,6.24
Tavistock,8,GB,1587665033,66,50.55,-4.14,64.99,4.0
Gospić,1,HR,1587665034,63,44.55,15.37,60.8,9.17
Brigantine,1,US,1587665034,57,39.41,-74.36,55.0,12.75
Yavoriv,94,UA,1587665034,33,49.94,23.38,59.0,4.47
Yagunovskiy,97,RU,1587665034,26,55.28,85.98,71.6,13.42
Isangel,14,VU,1587665034,79,-19.55,169.27,77.09,14.41
Umluj,0,SA,1587665035,66,25.02,37.27,78.53,3.58
Cabo San Lucas,5,MX,1587664789,36,22.89,-109.91,84.99,5.82
Vila Velha,20,BR,1587665035,69,-20.33,-40.29,80.6,13.87
Grójec,87,PL,1587665035,30,51.86,20.87,61.0,6.93
Aklavik,90,CA,1587665035,71,68.22,-135.01,6.8,14.99
Kulhudhuffushi,87,MV,1587665035,74,6.62,73.07,84.85,9.73
Topaowan,44,CN,1587665036,60,30.67,112.69,57.2,6.26
Oranjemund,88,NA,1587665036,84,-28.55,16.43,64.13,13.78
Lompoc,1,US,1587665037,82,34.64,-120.46,80.01,12.75
Oktyabr'skoye,99,RU,1587665037,81,43.06,44.74,44.6,4.47
Ugoofaaru,100,MV,1587665038,75,5.67,73.0,84.2,11.77
Anaconda,90,US,1587665038,70,46.13,-112.94,44.6,14.99
Santa Rosa de Lima,20,SV,1587665038,66,13.62,-87.89,91.4,10.29
Aksu,47,CN,1587665039,32,41.12,80.26,63.16,3.06
Joshīmath,74,IN,1587665039,24,30.57,79.57,44.62,6.67
Bambous Virieux,40,MU,1587665039,83,-20.34,57.76,78.01,11.41
Kirando,49,TZ,1587665039,56,-7.42,30.6,74.7,2.82
Boende,66,CD,1587665039,62,-0.22,20.87,80.51,1.14
Freital,0,DE,1587665039,34,51.0,13.65,64.99,6.93
Faya,55,SA,1587665040,60,18.39,42.45,68.0,9.17
Mazagão,75,BR,1587665041,74,-0.12,-51.29,87.8,6.93
Hamilton,90,US,1587665041,93,39.18,-84.53,55.4,8.28
Carnarvon,0,AU,1587664760,88,-24.87,113.63,71.6,9.17
Lata,100,PT,1587664798,69,40.16,-8.33,68.0,5.99
Arlit,10,NE,1587665042,9,18.74,7.39,96.42,4.61
Hakkâri Province,84,TR,1587665042,41,37.58,44.17,44.42,4.88
Nyimba,56,ZM,1587665043,59,-14.56,30.81,67.87,4.65
Waingapu,87,ID,1587664801,79,-9.66,120.26,78.58,11.18
Ostrovnoy,100,RU,1587665043,96,68.05,39.51,24.44,19.86
Athabasca,24,CA,1587664800,41,54.72,-113.29,53.69,9.82
Bandundu Province,39,CD,1587665044,66,-3.32,17.37,79.63,1.97
Naze,90,JP,1587665044,55,28.37,129.48,62.6,16.11
Province of Mantua,0,IT,1587664794,34,45.17,10.78,68.0,4.7
Belyy Yar,17,RU,1587665044,43,53.6,91.39,50.0,4.47
Shirokiy,9,RU,1587665044,87,49.76,129.52,29.1,5.64
Trogir,0,HR,1587665045,36,43.51,16.25,62.6,6.93
Abu Kamal,100,SY,1587665045,20,34.45,40.92,80.51,14.67
Wagar,98,SD,1587665045,16,16.15,36.2,87.53,7.14
San Andrés,75,CO,1587665045,62,12.58,-81.7,86.0,9.17
Shihezi,0,CN,1587665045,18,44.3,86.03,68.04,6.69
Riviere-au-Renard,90,CA,1587665045,95,49.0,-64.4,32.0,8.05
Saint-Augustin,73,CA,1587665045,90,51.23,-58.65,32.63,19.77
Opunake,67,NZ,1587665045,96,-39.46,173.86,53.01,6.62
Port Augusta,4,AU,1587665045,93,-32.5,137.77,57.2,6.93
Itaituba,40,BR,1587665046,59,-4.28,-55.98,91.4,11.41
Ocós,20,GT,1587665046,46,14.51,-92.19,93.2,9.17
Denpasar,20,ID,1587664984,88,-8.65,115.22,82.4,8.05
Tahoua,14,NE,1587665046,13,14.89,5.27,105.8,2.24
Nurota,100,UZ,1587665046,49,40.56,65.69,68.0,9.17
Waipawa,84,NZ,1587665046,82,-41.41,175.52,59.0,13.87
Beringovskiy,0,RU,1587665046,90,63.05,179.32,10.76,9.69
Luau,5,AO,1587665047,54,-10.71,22.22,66.51,0.87
Togur,97,RU,1587665047,63,58.36,82.83,48.56,6.29
Tāybād,20,IR,1587665048,26,34.74,60.78,72.91,3.98
Grand-Lahou,47,CI,1587665048,80,5.14,-5.02,83.16,9.35
Labuhan,85,ID,1587665048,87,-6.88,112.21,78.89,6.22
Kouroussa,80,GN,1587665049,42,10.65,-9.88,90.25,5.06
Vung Tau,87,VN,1587665049,75,10.35,107.08,83.8,20.15
Olafsvik,69,IS,1587664786,81,64.89,-23.71,44.15,13.69
Hornepayne,74,CA,1587665049,66,49.21,-84.77,36.32,5.17
Chui,71,UY,1587665049,75,-33.7,-53.46,70.92,8.72
Panguipulli,90,CL,1587665049,72,-39.63,-72.33,63.0,9.17
Cabimas,83,VE,1587665049,68,10.39,-71.44,85.64,3.42
Am Timan,31,TD,1587665049,24,11.03,20.28,91.62,4.32
Dudinka,100,RU,1587665049,65,69.41,86.18,41.0,51.45
Paita,50,PE,1587665051,55,-5.09,-81.11,86.0,13.87
Genhe,100,CN,1587665051,63,50.78,121.52,31.59,2.24
Kaniama,90,CD,1587665051,71,-7.57,24.18,68.88,2.73
Esperance,49,AU,1587665051,93,-33.87,121.9,59.0,10.29
Te Anau,33,NZ,1587665051,70,-45.42,167.72,48.65,8.05
Chancay,6,PE,1587665051,60,-11.57,-77.27,75.2,11.41
Broken Hill,0,AU,1587665052,48,-31.95,141.43,64.4,6.93
Pinega,99,RU,1587665052,95,64.7,43.39,22.12,6.6
Pāsighāt,89,IN,1587665052,67,28.07,95.33,67.41,2.35
Teknāf,100,BD,1587665052,81,20.86,92.31,78.96,5.7
Katghora,23,IN,1587665052,25,22.5,82.55,78.6,6.38
Sheregesh,45,RU,1587665053,41,52.92,87.99,54.0,6.02
Malpe,46,IN,1587665053,76,13.35,74.72,83.44,4.05
Forsytheganj,86,BY,1587664940,72,52.63,29.73,48.13,7.67
Lerwick,0,GB,1587664918,81,60.15,-1.15,48.2,5.82
Cockburn Town,26,TC,1587664788,79,21.46,-71.14,79.65,16.53
Sinnamary,78,GF,1587665053,74,5.38,-52.95,81.55,12.15
Tsabong,17,BW,1587665053,22,-26.02,22.4,76.84,7.14
Taldan,100,RU,1587665053,80,53.67,124.8,28.45,4.63
Pierre,90,US,1587664820,39,44.37,-100.35,64.4,13.87
